ENTPID,ITEMID,ITEMLL,FRNID,FRNLL,RAYID,CIRCUITLL,MNFID,LOCID,SUM(NBPRISEPREP)
970,5200366,50ASS.BLANCHE 18CM CARTON MPX,103869,CO.DI.MA SARL,68,BLANP 15/12,16356,2869,1
970,7633468,POKE BALL PACK       M00,15172,MATTEL FRANCE SA,55,BLANP 15/12,16151,37,1
970,7628314,COUETTE 140  MICRO   B00,110629,ABEIL SAS,50,BLANP 15/12,16422,877,1
970,7627102,MAXI DB UNI          590,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,1645,1
970,7627102,MAXI DB UNI          590,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,1795,1
970,7629218,DH 140 UNI           692,103553,VISTEX LIMITED,50,BLANP 15/12,16544,1147,2
970,7627170,DDB LITEAU PLISSE    650,103030,"FELPINTER INDUSTRIAS TEXTEIS,SA",50,BLANP 15/12,16422,958,1
970,7627140,SERV LITEAU CHAIN    810,14622,BELFAMA EMPRESA TEXTIL LDA,50,BLANP 15/12,16422,911,1
970,7627140,SERV LITEAU CHAIN    810,14622,BELFAMA EMPRESA TEXTIL LDA,50,BLANP 15/12,16422,60,1
970,7627140,SERV LITEAU CHAIN    810,14622,BELFAMA EMPRESA TEXTIL LDA,50,BLANP 15/12,16422,413,1
970,7629154,TC UNIE              551,103553,VISTEX LIMITED,50,BLANP 15/12,16544,875,3
970,7629183,HC 240 UNI           691,103553,VISTEX LIMITED,50,BLANP 15/12,16544,905,1
970,7629218,DH 140 UNI           692,103553,VISTEX LIMITED,50,BLANP 15/12,16544,853,1
970,7629195,DP UNI               691,103553,VISTEX LIMITED,50,BLANP 15/12,16544,762,1
970,7627096,MAXI DB UNI          700,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,810,1
970,7629218,DH 140 UNI           692,103553,VISTEX LIMITED,50,BLANP 15/12,16544,905,1
970,7627877,COUETTE CO MICRO140  691,110629,ABEIL SAS,50,BLANP 15/12,16422,238,1
970,7627114,LOT SERV ET DB       590,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,1246,2
970,7629160,TAIE RECT UNIE       691,103553,VISTEX LIMITED,50,BLANP 15/12,16544,143,1
970,7627065,SERVIETTE INV UNI    651,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,213,1
970,7627065,SERVIETTE INV UNI    651,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,2811,1
970,7627071,SERVIETTE UNI        851,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,1355,1
970,7627104,MAXI DB UNI          651,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,136,1
970,7627794,PLAID DOUDOU CORAL   701,12449,MPX IMPORT,50,BLANP 15/12,16422,246,1
970,7629214,DH 140 UNI           551,103553,VISTEX LIMITED,50,BLANP 15/12,16544,1261,2
970,7627137,DDB LITEAU HILO      810,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,463,1
970,7627241,LOT240 PALMI PRUSSIE 551,12449,MPX IMPORT,50,BLANP 15/12,16422,169,1
970,7629178,HC 240 UNI           551,103553,VISTEX LIMITED,50,BLANP 15/12,16544,1026,1
970,7627104,MAXI DB UNI          651,15933,VILLAFELPOS-COMERCIO IND.TEXTIL SA,50,BLANP 15/12,16422,413,1
970,4000139,PRISUNIC ET LE DESIGN,6047,DNL DISTRIBUTION /INTERFORUM,53,BLANP 15/12,16223,694,1
970,6261508,HANDYB 80%R LIEN ULTRARESIST 3,1689,MELITTA-FRANCE SAS,67,BLANP 15/12,16418,184,2
970,6261508,HANDYB 80%R LIEN ULTRARESIST 3,1689,MELITTA-FRANCE SAS,67,BLANP 15/12,16418,2018,1
970,5121475,COUETTE ANTHRAC 220  990,110629,ABEIL SAS,50,BLANP 15/12,16422,1565,1
970,7627148,2GANTS LITEAU CHAIN  810,14622,BELFAMA EMPRESA TEXTIL LDA,50,BLANP 15/12,16422,144,1
970,7629218,DH 140 UNI           692,103553,VISTEX LIMITED,50,BLANP 15/12,16544,1751,1
